family,feature,transformation,model,covariates,n,unadjusted_Kruskal_P,global_subtype_F,global_subtype_P,partial_R2_subtype,global_subtype_FDR_all_features,global_subtype_FDR_within_family
CIBERSORT,T.cells.CD4.naive,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.4451828816200498,0.5063028743110904,0.6780147516292332,0.0016999177166537767,0.7062653662804513,0.7458162267921565
CIBERSORT,T.cells.CD4.naive,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.4451828816200498,0.23198622838640467,0.8741207923320281,0.0009333008675363563,0.9200941811052834,0.9253518621401707
CIBERSORT,T.cells.CD4.memory.resting,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.3432898866256477e-10,9.2721234396166,4.8375114043034726e-06,0.030241221200713566,1.5117223138448351e-05,3.54750836315588e-05
CIBERSORT,T.cells.CD4.memory.resting,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.3432898866256477e-10,4.437536246513787,0.004215778024520206,0.01755556822623512,0.01756574176883419,0.04339048286702149
CIBERSORT,T.cells.CD4.memory.activated,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,4.549571963195567e-10,2.4930701337627954,0.05879947069753379,0.0083150453226725,0.07349933837191723,0.08623922368971622
CIBERSORT,T.cells.CD4.memory.activated,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,4.549571963195567e-10,0.2189179690636202,0.8832904138610721,0.0008807724247779085,0.9200941811052834,0.9253518621401707
CIBERSORT,T.cells.follicular.helper,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.3836720950965988e-20,7.900076235649284,3.326436352716009e-05,0.025882082327766523,8.316090881790022e-05,0.0001463631995195044
CIBERSORT,T.cells.follicular.helper,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.3836720950965988e-20,0.27010103269484953,0.8469764871242452,0.00108647345674706,0.9200941811052834,0.9253518621401707
CIBERSORT,T.cells.regulatory..Tregs.,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.09923608279507e-06,6.288859368952545,0.00031833215877703015,0.020712778973699834,0.0006920264321239785,0.0011672179155157772
CIBERSORT,T.cells.regulatory..Tregs.,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.09923608279507e-06,2.3135435743567068,0.07471876257339154,0.009230290849419818,0.14943752514678307,0.27396879610243563
CIBERSORT,T.cells.gamma.delta,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.1506164233098493,0.67920582337213,0.5648792672325106,0.002279118272318668,0.6009353906728836,0.6540707304797491
CIBERSORT,T.cells.gamma.delta,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.1506164233098493,1.9946527408113865,0.11337246915350775,0.007968157184872609,0.2003875905332057,0.30041434999741046
CIBERSORT,NK.cells.resting,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.647793991216276,0.2876599430505897,0.8343352646195472,0.0009665310900412728,0.8513625149179054,0.8740655153157161
CIBERSORT,NK.cells.resting,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.647793991216276,0.6606349590121162,0.5764428553926011,0.002653216716625281,0.6705079225919875,0.7462358762023767
CIBERSORT,NK.cells.activated,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,8.65541085826909e-06,5.66511573852748,0.0007605975664826836,0.018696847313511858,0.0014626876278513146,0.0023904494946598623
CIBERSORT,NK.cells.activated,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,8.65541085826909e-06,4.674749676536967,0.0030399365625393723,0.018476681143639973,0.01495204621763136,0.04339048286702149
CIBERSORT,Monocytes,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.0116363308371473e-06,10.649009166129671,6.982152160892995e-07,0.03457668735066601,2.6854431388049982e-06,7.680367376982294e-06
CIBERSORT,Monocytes,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.0116363308371473e-06,1.3641387886364145,0.25254020986161785,0.0054631661948506775,0.34127055386705113,0.4464630054106482
CIBERSORT,Macrophages.M0,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.285457773532436e-09,8.410963715463625,1.622933118653203e-05,0.027509797555181313,4.773332701921185e-05,8.926132152592616e-05
CIBERSORT,Macrophages.M0,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.285457773532436e-09,3.775382314568999,0.010455570514916888,0.014975215374313903,0.027514659249781283,0.057505637832042884
CIBERSORT,Macrophages.M1,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,4.4687503977758767e-10,4.587124196683552,0.0034001778859561165,0.015193154628243437,0.005426755537174777,0.007640871796342086
CIBERSORT,Macrophages.M1,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,4.4687503977758767e-10,2.3895699152790493,0.06759025496611265,0.009530720505855,0.14081303117940136,0.27396879610243563
CIBERSORT,Macrophages.M2,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,2.7057136253046625e-10,5.1974865868779965,0.0014585007928971062,0.017180023470827758,0.002514656539477769,0.004010877180467042
CIBERSORT,Macrophages.M2,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,2.7057136253046625e-10,0.1188183779316483,0.949052728532609,0.0004782344492219626,0.9684211515638868,0.9490527285326089
CIBERSORT,Dendritic.cells.resting,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.5686332323696106,0.10970038497386905,0.9544415575440647,0.00036881141105412664,0.9544415575440647,0.9544415575440648
CIBERSORT,Dendritic.cells.resting,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.5686332323696106,1.7222526732868682,0.16097348131772202,0.0068874793032668805,0.23710331764197992,0.32194696263544403
CIBERSORT,Dendritic.cells.activated,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,1.6045224030423981e-09,3.8714312151284513,0.009112676439236956,0.012853153969633055,0.012656495054495773,0.015421452435631772
CIBERSORT,Dendritic.cells.activated,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,1.6045224030423981e-09,1.1004858899473715,0.3481477991452153,0.004411935371771987,0.43518474893151915,0.547089398656767
CIBERSORT,Mast.cells.resting,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,6.473034439987581e-48,35.98947369002489,5.847143297996682e-22,0.10797183070495042,2.923571648998341e-20,1.28637152555927e-20
CIBERSORT,Mast.cells.resting,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,6.473034439987581e-48,1.9494253206759755,0.120214633897538,0.0077888917764841305,0.2003875905332057,0.30041434999741046
CIBERSORT,Mast.cells.activated,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,7.71505931680616e-05,3.441862485323517,0.016389854654616686,0.01144330560887967,0.022148452235968497,0.02575548588582622
CIBERSORT,Mast.cells.activated,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,7.71505931680616e-05,1.3287470964437422,0.26381904865174666,0.005322182263948095,0.34713032717335085,0.4464630054106482
CIBERSORT,Eosinophils,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.01872848547107683,4.177964971112767,0.005980313674610073,0.013856744323040708,0.008748686879756974,0.010963908403451801
CIBERSORT,Eosinophils,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.01872848547107683,1.9239529196776344,0.12424030613058754,0.007687899715065684,0.2003875905332057,0.30041434999741046
CIBERSORT,Neutrophils,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.06283292727389232,2.1048526329533828,0.09807150610421242,0.007029339381552241,0.11959939768806394,0.13484832089329207
CIBERSORT,Neutrophils,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.06283292727389232,4.191035529359115,0.005916884027321112,0.016596558772662244,0.020913471376453746,0.04339048286702149
Checkpoint,CD274,none,ER,stage + ER + ESTIMATEScore,899,5.663239326358574e-10,1.3443593421831401,0.2586444223478035,0.004501036987866558,0.2939141163043221,0.2586444223478035
Checkpoint,CD274,none,PAM50,stage + PAM50 + ESTIMATEScore,755,5.663239326358574e-10,2.838104517277344,0.03720556007202974,0.011299471554426363,0.08901354087997654,0.04340648675070136
Checkpoint,PDCD1,none,ER,stage + ER + ESTIMATEScore,899,4.869707331453713e-05,16.867330731408607,1.1561392610355888e-10,0.053683307072619826,7.225870381472431e-10,2.0232437068122804e-10
Checkpoint,PDCD1,none,PAM50,stage + PAM50 + ESTIMATEScore,755,4.869707331453713e-05,5.979686243209729,0.000498021469963982,0.023513095213003692,0.004307063352988974,0.0017430751448739368
Checkpoint,CTLA4,none,ER,stage + ER + ESTIMATEScore,899,1.2554019288741898e-10,17.124545919370036,8.081584727486043e-11,0.05445735994933833,5.772560519632888e-10,1.8857031030800767e-10
Checkpoint,CTLA4,none,PAM50,stage + PAM50 + ESTIMATEScore,755,1.2554019288741898e-10,2.2275884648003546,0.08365638860656895,0.008890406567848709,0.16087767039724796,0.08365638860656895
Checkpoint,LAG3,none,ER,stage + ER + ESTIMATEScore,899,3.229838329106842e-15,35.355319172348935,1.3565253053673078e-21,0.10627149109555241,3.3913132634182695e-20,9.495677137571154e-21
Checkpoint,LAG3,none,PAM50,stage + PAM50 + ESTIMATEScore,755,3.229838329106842e-15,11.671994288974133,1.7622769121062528e-07,0.044891365864353626,8.811384560531264e-06,1.233593838474377e-06
Checkpoint,HAVCR2,none,ER,stage + ER + ESTIMATEScore,899,0.1161921055032961,9.992966196035393,1.7558853844859944e-06,0.03251581856592929,6.2710192303071226e-06,2.458239538280392e-06
Checkpoint,HAVCR2,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.1161921055032961,4.617572683513785,0.003289450167878899,0.018254817728173087,0.01495204621763136,0.005756537793788073
Checkpoint,IDO1,none,ER,stage + ER + ESTIMATEScore,899,1.706139845918592e-20,20.274381234693838,1.023795040561577e-12,0.06383466239876659,1.0237950405615769e-11,3.583282641965519e-12
Checkpoint,IDO1,none,PAM50,stage + PAM50 + ESTIMATEScore,755,1.706139845918592e-20,5.585765198430426,0.0008610497948320986,0.021998208211705988,0.006150355677372133,0.0020091161879415634
Checkpoint,CD8A,none,ER,stage + ER + ESTIMATEScore,899,0.1077345576893322,5.623673700553098,0.0008058338305921117,0.018562613077056436,0.0014922848714668735,0.0009401394690241304
Checkpoint,CD8A,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.1077345576893322,4.083576229761689,0.006857129355465256,0.01617790280702626,0.020913471376453746,0.009599981097651358
