"sample_id","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","RMSE"
"TCGA-A2-A0ER-01A",0.120526374283655,0,0.0474716315075565,0,0,0.22243063778207,0,0.103987565579109,0,0,0.0126428419179134,0.0133939380426104,0.0281327405344144,0.0875865096629545,0.0625538617863357,0.0925869326017786,0.0058642124972987,0.0613000373852202,0.129848259345379,0,0.0100027119061601,0.00167174516754389,1.85199908361245
"TCGA-A2-A0ES-01A",0.170186560347844,0,0.0277911240791265,0.0512522811136688,0,0.217818151193137,0,0.086219210877134,0,0,0,0.0160778998570214,0.048165150298267,0,0.0725305352364224,0.158035035868369,0,0.0871604299601142,0.0539817794843876,0,0.0107818416845079,0,1.92612637137334
"TCGA-A2-A0ET-01A",0.0761034806245973,0,0.0413532473090456,0.121739097432581,0,0.144017059869423,0.0208889875261923,0.11009021414878,0,0,0.0433944365118746,0,0.0468007453727437,0,0.0901772207583213,0.175177866765515,0.0330775737114156,0.0678226753041195,0.0179882309045117,0,0.0113691637608809,0,1.9056861569288
"TCGA-A2-A0EU-01A",0.0141754451300784,0.00110661875906226,0,0.0246476912508754,0,0.23694577278687,0,0.0569050392191539,0,0,0,0.070294686945502,0.0383848164367861,0.0696903614105008,0.10323745182812,0.0769968834526411,0.0561289348430691,0.078577036642899,0.172909261294442,0,0,0,1.80547703209767
"TCGA-A2-A0EV-01A",0.109299157026068,0,0.0334637496006774,0.0658007729987462,0,0.211306739463544,0,0.045717648066923,0.00699625099545899,0,0.00162290615037594,0.0264017010335389,0.0365784716304856,0.0617285658253154,0.10897182793437,0.143289023206293,0.00303054846983979,0.0442263589420757,0.0956418627032199,0,0.00592441595306872,0,1.87751371680517
"TCGA-A2-A0EW-01A",0.0914442907624337,0.0258532715762169,0,0.0839723320210333,0,0.180915484956139,0,0.130838745114433,0,0,0,0.0861621236569462,0.046159344536759,0.0172996227216309,0.0769028882524605,0.111449475550661,0.00599726078383691,0.0423405991673327,0.0841834678535005,0,0.0164810930466165,0,1.90765101930855
"TCGA-A2-A0EX-01A",0.170981331531616,0,0.00428217078794157,0.0155944948710956,0,0.166005670843793,0,0.0831393134342847,0,0,0,0.0273141926868109,0.0414291320864801,0.0774982428590404,0.0872997468883943,0.118680896227889,0,0.0688665273428285,0.138908280439825,0,0,0,1.83330122222946
"TCGA-A2-A0EY-01A",0.0830164119320329,0.0880529213523334,0.00932655753246464,0.0391600331238614,0,0.235728585023378,0,0,0,0,0,0.0425933557386759,0.0607939774916083,0.108030606795226,0.0760582947623141,0.0601392587977341,0,0.0595312035579267,0.136709069244091,0,0,0.000859724648354029,1.77755350298085
"TCGA-A2-A0ST-01A",0.176194851225054,0,0.0347864525419839,0.067618808932039,0,0.114332787291904,0.0382981331620854,0.114047537984559,0,0,0,0.0837446970295383,0.0142491334368136,0.0760164187476552,0.099191990988567,0.0434090034487024,0.0632959658247541,0.0737684624205527,0,0,0.00104575696579199,0,1.87035378870915
"TCGA-A2-A0SU-01A",0.0659090160314722,0,0,0.111008585495068,0,0.188067911239269,0,0.0388724267167509,0.0243267761535712,0,0,0.07221356618351,0.0544774298381152,0.136571710691897,0.120145619942934,0.0228835564783214,0.0450910962598817,0.00350522457682345,0.111648582448765,0,0.00527849794362182,0,1.80897624867546
